time_index (s),time_query (s),table_size (MB),index_size (MB)
321.221,29.765,35,15
318.704,29.519,35,15
360.857,31.883,35,15
359.801,32.234,35,15
360.188,33.212,35,15
406.432,32.456,35,15
425.454,31.613,35,15
413.787,32.895,35,15
413.756,32.608,35,15
413.789,33.756,35,15
399.996,34.543,35,15
438.398,35.653,35,15
411.699,37.546,35,15
430.112,39.564,35,15
